1,1200
1,500
1,300
1,300
1,300
1,300
1,200
1,200
1,200
1,100
1,200
1,200
1,200
1,100
1,200
1,200
1,200
1,200
1,200
1,200
1,300
1,100
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,300
1,200
1,200
1,200
1,200
1,100
1,200
1,200
1,200
1,200
1,100
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,200
1,300
1,300
1,200
1,200
1,200
1,200
1,300
1,200
1,200
1,300
1,300
1,200
1,200
1,200
1,200
1,300
1,300
1,200
1,300
1,200
1,200
1,200
1,200
1,300
1,300
1,200
1,200
1,200
1,200
1,200
1,300
1,200
1,200
1,600
1,300
1,300
1,200
1,200
1,200
1,300
1,200
1,100
1,200
1,200
1,200
1,200
1,200
50001,543400
50001,490700
50001,485600
50001,496200
50001,499100
50001,494700
50001,497500
50001,523900
50001,496600
50001,497300
50001,495800
50001,515800
50001,498300
50001,497400
50001,497000
50001,514900
50001,496900
50001,497100
50001,497100
50001,512800
50001,497200
50001,497600
50001,495500
50001,513900
50001,496200
50001,497800
50001,498400
50001,523300
50001,498500
50001,500200
50001,573300
50001,539200
50001,496000
50001,496200
50001,527700
50001,494300
50001,496600
50001,495800
50001,530800
50001,498600
50001,497500
50001,498700
50001,516200
50001,544400
50001,498400
50001,498300
50001,521500
50001,497800
50001,498200
50001,497100
50001,515600
50001,497200
50001,497400
50001,497500
50001,498600
50001,497000
50001,496200
50001,519100
50001,499300
50001,497400
50001,497600
50001,518100
50001,498200
50001,497500
50001,497200
50001,514900
50001,497400
50001,498400
50001,497600
50001,517200
50001,499200
50001,498700
50001,496900
50001,516000
50001,497400
50001,498100
50001,497900
50001,514400
50001,497400
50001,498000
50001,517200
50001,493400
50001,813100
50001,728700
50001,535200
50001,490200
50001,497400
50001,523900
50001,497900
50001,493400
50001,564400
50001,1121700
50001,1025900
50001,491500
50001,518800
50001,496800
50001,498000
50001,497600
50001,530100
50001,497900
100001,1069000
100001,993700
100001,1012800
100001,995200
100001,1011800
100001,996200
100001,1012500
100001,994500
100001,1016900
100001,995300
100001,1013500
100001,989900
100001,1015900
100001,992100
100001,1010500
100001,994700
100001,1011400
100001,996300
100001,1013000
100001,995100
100001,1014700
100001,996200
100001,1009800
100001,992500
100001,1002900
100001,989700
100001,1368600
100001,1022800
100001,993900
100001,1021700
100001,993700
100001,1028800
100001,1108600
100001,994200
100001,1013200
100001,997200
100001,1015200
100001,994300
100001,1014500
100001,996600
100001,1019200
100001,983300
100001,1029500
100001,992600
100001,1023300
100001,995800
100001,1012300
100001,995300
100001,1014900
100001,988900
100001,1022300
100001,990200
100001,1017800
100001,991900
100001,1013600
100001,993400
100001,1099000
100001,1050500
100001,1048100
100001,1137300
100001,984000
100001,1176500
100001,990200
100001,992000
100001,1019300
100001,994800
100001,1020000
100001,993700
100001,1125600
100001,1103700
100001,1020400
100001,994300
100001,1337100
100001,1037100
100001,1105600
100001,998200
100001,1023000
100001,989400
100001,1024700
100001,1000400
100001,1023400
100001,995000
100001,1096200
100001,994700
100001,1012200
100001,996900
100001,1013200
100001,994900
100001,1013300
100001,992200
100001,1017800
100001,987900
100001,1043200
100001,995700
100001,1012500
100001,996100
100001,1008700
100001,994300
100001,1008800
100001,997900
150001,1502500
150001,1510800
150001,1505600
150001,1531700
150001,1504200
150001,1526200
150001,1517800
150001,1509800
150001,1490300
150001,1507200
150001,1508800
150001,1622800
150001,1490100
150001,1579700
150001,1507100
150001,1516600
150001,1542400
150001,1540100
150001,1515300
150001,1494100
150001,1521400
150001,1523100
150001,1563500
150001,1492800
150001,1526400
150001,1508600
150001,1612200
150001,1511700
150001,1491100
150001,1515800
150001,1512400
150001,1510100
150001,1492000
150001,1512100
150001,1515000
150001,1566000
150001,1526700
150001,1499800
150001,1511600
150001,1509500
150001,1512600
150001,1489400
150001,1512300
150001,1521700
150001,1510000
150001,1488100
150001,1512100
150001,1644100
150001,1516700
150001,1509700
150001,1493600
150001,1512300
150001,1521100
150001,1512800
150001,1470700
150001,1523900
150001,1512700
150001,1580100
150001,1544100
150001,1511700
150001,1507600
150001,1495000
150001,1552500
150001,1506400
150001,1510800
150001,1491700
150001,1501900
150001,1557700
150001,1531600
150001,1522500
150001,1488200
150001,1511700
150001,1510100
150001,1511100
150001,1492300
150001,1514200
150001,1953300
150001,1619500
150001,1537000
150001,1496500
150001,1519700
150001,1515700
150001,1523800
150001,1497900
150001,1597000
150001,1522200
150001,1511100
150001,1636200
150001,1492700
150001,1527400
150001,1515100
150001,1500100
150001,1496300
150001,1507300
150001,1517100
150001,1505200
150001,1479900
150001,1530500
150001,1609400
150001,1539800
200001,2022000
200001,2009400
200001,2009100
200001,2008200
200001,2001700
200001,2060400
200001,2006700
200001,2020700
200001,2026900
200001,2012400
200001,2009500
200001,2007600
200001,2003800
200001,2020500
200001,2011800
200001,2020300
200001,2018700
200001,2015400
200001,2008400
200001,2006800
200001,2003300
200001,2051600
200001,2019900
200001,2015000
200001,2017800
200001,2015700
200001,2012600
200001,2008100
200001,2013700
200001,2015700
200001,2013700
200001,2010400
200001,2044900
200001,2025300
200001,2012400
200001,2017400
200001,2005400
200001,2003900
200001,2015500
200001,2008100
200001,2017400
200001,2007300
200001,2008700
200001,2173700
200001,2269600
200001,3584400
200001,2051200
200001,2149500
200001,2009900
200001,1983800
200001,1324400
200001,1336100
200001,1355100
200001,1334800
200001,1346300
200001,1339500
200001,1319600
200001,1349600
200001,1343300
200001,1323400
200001,1336600
200001,1335900
200001,1322500
200001,1337900
200001,1396700
200001,1335000
200001,1346100
200001,1341900
200001,1324500
200001,1341100
200001,1338600
200001,1324100
200001,1337500
200001,1338000
200001,1326100
200001,1342600
200001,1338300
200001,1328600
200001,1339900
200001,1337400
200001,1324100
200001,1338900
200001,1336100
200001,1325700
200001,1336900
200001,1336400
200001,1323400
200001,1341800
200001,1338000
200001,1354600
200001,1349500
200001,1341200
200001,1338300
200001,1325900
200001,1338100
200001,1336200
200001,1324200
200001,1344400
200001,1335600
200001,1327800
250001,1673900
250001,1675300
250001,1495200
250001,1248300
250001,1254100
250001,1256400
250001,1243500
250001,1252500
